,cnpj
1484,7557032000131
1485,8788610000103
1486,8788636000151
1487,22790672000180
1488,18271572000170
1489,22792941000148
1490,22778889000175
1491,22779253000148
1492,7563853000180
1493,18272397000136
1494,8791000000169
1495,47701312000196
1496,18272676000108
1497,22782745000192
1498,22783027000130
1499,8791727000146
1500,8791797000102
1501,8791797000285
1502,18272992000171
1503,22800348000104
1504,2962425000298
1505,38209048000187
1506,22801375000193
1507,22801438000101
1508,22803087000178
1509,41816923000101
1510,22805981000187
1511,45471849000181
1512,41817265000164
1513,18276120000181
1514,8798295000103
1515,8798403000130
1516,7575692000145
1517,8372015000192
1518,17980011000188
1519,17981645000155
1520,22567079000170
1521,22567226000101
1522,17981874000170
1523,22570015000128
1524,22795467000108
1525,41806184000169
1526,22795631000187
1527,8800573000101
1528,47697931000154
1529,8800986000196
1530,47698065000116
1531,41806572000140
1532,18278227000169
1533,38211685000198
1534,47698487000191
1535,41806941000102
1536,18278643000167
1537,2918031000151
1538,41807386000125
1539,7584905000103
1540,38212220000151
1541,22799354000180
1542,18279195000116
1543,41808372000126
1544,18279362000129
1545,2919103000185
1546,41808482000198
1547,41808883000148
1548,18280294000118
1549,7591875000154
1550,7593212000179
1551,41810187000176
1552,22811085000120
1553,47700713000121
1554,18282412000127
1555,8805120000178
1556,41812056000128
1557,41812422000149
1558,3054730000163
1559,7599401000159
1560,20228135000116
1561,18283883000150
1562,41812905000143
1563,39333244000121
1564,7600751000198
1565,47701548000122
1566,47701633000190
1567,18284268000168
1568,41813391000140
1569,47702481000140
1570,47702764000192
1571,41814540000196
1572,7608214000194
1573,7608621000100
1574,3241029000153
1575,3241029000234
1576,3249921000180
1577,3249921000504
1578,2919363000150
1579,7612210000180
1580,18286360000167
1581,41816156000122
1582,41816267000139
1583,47703751000138
1584,7614836000125
1585,3302321000139
1586,4190659000109
1587,41816732000131
1588,41816798000121
1589,18288279000116
1590,2919733000150
1591,41817304000123
1592,20216629000180
1593,2920296000194
1594,41818019000127
1595,18289294000189
1596,41818392000188
1597,2921657000117
1598,2921816000183
1599,2921938000170
1600,22821120000192
1601,7625065000171
1602,47705510000128
1603,18294873000110
1604,47706203000161
1605,7629073000196
1606,22803843000169
1607,18295380000102
1608,47706706000137
1609,20243777000194
1610,45477531000108
1611,18295944000107
1612,22822935000196
1613,7632912000206
1614,18296490000180
1615,12283584000139
1616,18296846000186
1617,18296907000105
1618,7634457000105
1619,20223711000132
1620,18297725000159
1621,2926003000267
1622,18293586000195
1623,7641966000157
1624,8814218000191
1625,2928982000101
1626,46004330000156
1627,12735602000176
1628,22807827000144
1629,22807949000130
1630,18300460000109
1631,7646890000152
1632,7647399000146
1633,7647986000135
1634,7648646000129
1635,18302244000194
1636,46008429000126
1637,2930615000142
1638,41827127000166
1639,7652602000172
1640,22811374000120
1641,7653965000122
1642,8822555000120
1643,22812406000101
1644,8822859000198
1645,8822881000138
1646,7655247000195
1647,22812951000106
1648,18305553000118
1649,7656062000103
1650,22814137000112
1651,22814505000122
1652,22814628000163
1653,22815369000195
1654,22815383000199
1655,7657942000277
1656,7660339000163
1657,8818856000180
1658,18298575000106
1659,22805814000136
1660,2931184000139
1661,18312401000142
1662,20250139000109
1663,2931356000174
1664,3428529000360
1665,2931442000187
1666,2931933000128
